t,x,x_dot
15.3324183006536,49.0490777777778,-1.55888888888889
15.3424183006536,49.033425,-1.57166666666667
15.3524183006536,49.0176444444444,-1.58444444444444
15.3624183006536,49.0017361111111,-1.59722222222222
15.3724183006536,48.9857,-1.61
15.3824183006536,48.9695361111111,-1.62277777777778
15.3924183006536,48.9532444444444,-1.63555555555556
15.4024183006536,48.936825,-1.64833333333333
15.4124183006536,48.9202777777778,-1.66111111111111
15.4224183006536,48.9036027777778,-1.67388888888889
15.4324183006536,48.8868,-1.68666666666667
15.4424183006536,48.8698694444444,-1.69944444444444
15.4524183006536,48.8528111111111,-1.71222222222222
15.4624183006536,48.835625,-1.725
15.4724183006536,48.8183111111111,-1.73777777777778
15.4824183006536,48.8008694444444,-1.75055555555556
15.4924183006536,48.7833,-1.76333333333333
15.5024183006536,48.7656027777778,-1.77611111111111
15.5124183006536,48.7477777777778,-1.78888888888889
15.5224183006536,48.729825,-1.80166666666667
15.5324183006536,48.7117444444444,-1.81444444444444
15.5424183006536,48.6935361111111,-1.82722222222222
15.5524183006536,48.6752,-1.84
15.5624183006536,48.6567361111111,-1.85277777777778
15.5724183006536,48.6381444444444,-1.86555555555556
15.5824183006536,48.619425,-1.87833333333333
15.5924183006536,48.6005777777778,-1.89111111111111
15.6024183006536,48.5816027777778,-1.90388888888889
15.6124183006536,48.5625,-1.91666666666667
15.6224183006536,48.5432694444444,-1.92944444444444
15.6324183006536,48.5239111111111,-1.94222222222222
15.6424183006536,48.504425,-1.955
15.6524183006536,48.4848111111111,-1.96777777777778
15.6624183006536,48.4650694444444,-1.98055555555556
15.6724183006536,48.4452,-1.99333333333333
15.6824183006536,48.4252027777778,-2.00611111111111
15.6924183006536,48.4050777777778,-2.01888888888889
15.7024183006536,48.384825,-2.03166666666667
15.7124183006536,48.3644444444444,-2.04444444444444
15.7224183006536,48.3439361111111,-2.05722222222222
15.7324183006536,48.3233,-2.07
15.7424183006536,48.3025361111111,-2.08277777777778
15.7524183006536,48.2816444444444,-2.09555555555556
15.7624183006536,48.260625,-2.10833333333333
15.7724183006536,48.2394777777778,-2.12111111111111
15.7824183006536,48.2182027777778,-2.13388888888889
15.7924183006536,48.1968,-2.14666666666667
15.8024183006536,48.1752694444444,-2.15944444444444
15.8124183006536,48.1536111111111,-2.17222222222222
15.8224183006536,48.131825,-2.185
15.8324183006536,48.1099111111111,-2.19777777777778
15.8424183006536,48.0878694444444,-2.21055555555556
15.8524183006536,48.0657,-2.22333333333333
15.8624183006536,48.0434027777778,-2.23611111111111
15.8724183006536,48.0209777777778,-2.24888888888889
15.8824183006536,47.998425,-2.26166666666667
15.8924183006536,47.9757444444444,-2.27444444444444
15.9024183006536,47.9529361111111,-2.28722222222222
15.9124183006536,47.93,-2.3
15.9224183006536,47.9069361111111,-2.31277777777778
15.9324183006536,47.8837444444444,-2.32555555555556
15.9424183006536,47.860425,-2.33833333333333
15.9524183006536,47.8369777777778,-2.35111111111111
15.9624183006536,47.8134027777778,-2.36388888888889
15.9724183006536,47.7897,-2.37666666666667
15.9824183006536,47.7658694444444,-2.38944444444444
15.9924183006536,47.7419111111111,-2.40222222222222
16.0024183006536,47.717825,-2.415
16.0124183006536,47.6936111111111,-2.42777777777778
16.0224183006536,47.6692694444444,-2.44055555555556
16.0324183006536,47.6448,-2.45333333333333
16.0424183006536,47.6202027777778,-2.46611111111111
16.0524183006536,47.5954777777778,-2.47888888888889
16.0624183006536,47.570625,-2.49166666666667
16.0724183006536,47.5456444444444,-2.50444444444444
16.0824183006536,47.5205361111111,-2.51722222222222
16.0924183006536,47.4953,-2.53
16.1024183006536,47.4699361111111,-2.54277777777778
16.1124183006536,47.4444444444444,-2.55555555555556
16.1224183006536,47.418825,-2.56833333333333
16.1324183006536,47.3930777777778,-2.58111111111111
16.1424183006536,47.3672027777778,-2.59388888888889
16.1524183006536,47.3412,-2.60666666666667
16.1624183006536,47.3150694444444,-2.61944444444444
16.1724183006536,47.2888111111111,-2.63222222222222
16.1824183006536,47.262425,-2.645
16.1924183006536,47.2359111111111,-2.65777777777778
16.2024183006536,47.2092694444444,-2.67055555555556
16.2124183006536,47.1825,-2.68333333333333
16.2224183006536,47.1556027777778,-2.69611111111111
16.2324183006536,47.1285777777778,-2.70888888888889
16.2424183006536,47.101425,-2.72166666666667
16.2524183006536,47.0741444444444,-2.73444444444444
16.2624183006536,47.0467361111111,-2.74722222222222
16.2724183006536,47.0192,-2.76
16.2824183006536,46.9915361111111,-2.77277777777778
16.2924183006536,46.9637444444444,-2.78555555555556
16.3024183006536,46.935825,-2.79833333333333
16.3124183006536,46.9077777777778,-2.81111111111111
16.3224183006536,46.8796027777778,-2.82388888888889
16.3324183006536,46.8513,-2.83666666666667
16.3424183006536,46.8228694444444,-2.84944444444444
16.3524183006536,46.7943111111111,-2.86222222222222
16.3624183006536,46.765625,-2.875
16.3724183006536,46.7368111111111,-2.88777777777778
16.3824183006536,46.7078694444444,-2.90055555555556
16.3924183006536,46.6788,-2.91333333333333
16.4024183006536,46.6496027777778,-2.92611111111111
16.4124183006536,46.6202777777778,-2.93888888888889
16.4224183006536,46.590825,-2.95166666666667
16.4324183006536,46.5612444444444,-2.96444444444444
16.4424183006536,46.5315361111111,-2.97722222222222
16.4524183006536,46.5017,-2.99
16.4624183006536,46.4717361111111,-3.00277777777778
16.4724183006536,46.4416444444444,-3.01555555555556
16.4824183006536,46.411425,-3.02833333333333
16.4924183006536,46.3810777777778,-3.04111111111111
16.5024183006536,46.3506027777778,-3.05388888888889
16.5124183006536,46.32,-3.06666666666667
16.5224183006536,46.2892694444444,-3.07944444444444
16.5324183006536,46.2584111111111,-3.09222222222222
16.5424183006536,46.227425,-3.105
16.5524183006536,46.1963111111111,-3.11777777777778
16.5624183006536,46.1650694444444,-3.13055555555556
16.5724183006536,46.1337,-3.14333333333333
16.5824183006536,46.1022027777778,-3.15611111111111
16.5924183006536,46.0705777777778,-3.16888888888889
16.6024183006536,46.038825,-3.18166666666667
16.6124183006536,46.0069444444444,-3.19444444444444
16.6224183006536,45.9749361111111,-3.20722222222222
16.6324183006536,45.9428,-3.22
16.6424183006536,45.9105361111111,-3.23277777777778
16.6524183006536,45.8781444444444,-3.24555555555556
16.6624183006536,45.845625,-3.25833333333333
